DATAFLOW,LAST UPDATE,freq,c_resid,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),2013,309673646,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),2014,323283477,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),2015,340813578,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),2016,360428172,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),2017,390136505,e,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),2018,404685521,e,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),2019,415768751,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),2020,161046142,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),2021,225217566,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),2022,409288684,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),2023,455805087,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),2024,479185010,,
